A,B,C,D,StateID
1,3,0,0,1
1,3,7,0,2
1,3,7,10,3
1,3,10,0,4
1,3,11,0,5
1,4,0,0,6
1,4,6,0,7
1,4,7,0,8
1,4,8,0,9
1,4,9,0,10
1,4,10,0,11
1,4,11,0,12
1,6,0,0,13
1,6,10,0,14
1,7,0,0,15
1,7,10,0,16
1,8,0,0,17
1,8,10,0,18
1,9,0,0,19
1,10,0,0,20
1,11,0,0,21
2,3,0,0,22
2,4,0,0,23
2,4,8,0,24
2,4,8,11,25
2,4,11,0,26
2,5,0,0,27
2,6,8,11,28
2,8,0,0,29
2,8,10,0,30
2,8,11,0,31
2,10,0,0,32
2,11,0,0,33
3,4,0,0,34
3,4,8,0,35
3,5,0,0,36
3,5,8,0,37
3,5,8,10,38
3,5,8,11,39
3,5,10,0,40
3,5,11,0,41
3,6,0,0,42
3,6,8,12,43
3,6,10,0,44
3,6,11,0,45
3,7,0,0,46
3,7,10,0,47
3,7,11,0,48
3,8,0,0,49
3,8,10,0,50
3,8,11,0,51
3,9,0,0,52
3,10,0,0,53
3,11,0,0,54
4,6,0,0,55
4,7,0,0,56
4,7,10,0,57
4,8,0,0,58
4,8,11,0,59
4,9,0,0,60
4,10,0,0,61
4,11,0,0,62
5,7,0,0,63
5,8,0,0,64
5,8,10,0,65
5,8,11,0,66
5,10,0,0,67
5,11,0,0,68
6,9,0,0,69
6,10,0,0,70
6,11,0,0,71
6,12,0,0,72
7,8,0,0,73
7,10,0,0,74
7,11,0,0,75
8,10,0,0,76
8,11,0,0,77
8,12,0,0,78
