TimeID,Time,intA,intB,intC,intD,StateID
1,"1,327",3,8,0,0,49
2,"1,328",3,11,0,0,54
3,"1,401",3,8,0,0,49
4,"1,481",3,8,0,0,49
5,"1,482",3,11,0,0,54
6,"2,108",3,8,0,0,49
7,"2,490",3,8,0,0,49
8,"2,491",3,11,0,0,54
9,"2,908",3,8,11,0,51
10,"2,977",3,8,0,0,49
11,"2,979",3,11,0,0,54
12,"3,057",3,8,0,0,49
13,"3,058",3,11,0,0,54
14,"3,579",3,8,11,0,51
15,"3,938",3,8,11,0,51
16,"4,318",3,8,11,0,51
17,"4,387",3,8,0,0,49
18,"4,455",3,8,0,0,49
19,"4,456",3,11,0,0,54
20,"4,964",3,8,11,0,51
21,"5,040",3,8,11,0,51
22,"5,117",3,8,11,0,51
23,"5,118",3,11,0,0,54
24,"5,614",3,11,0,0,54
25,"5,684",3,11,0,0,54
26,"5,685",3,11,0,0,54
27,"5,765",3,11,0,0,54
28,"6,272",1,8,10,0,18
29,"6,273",1,8,0,0,17
30,"6,347",1,8,0,0,17
31,"6,348",8,10,0,0,76
32,"6,349",1,8,0,0,17
33,"6,418",1,8,0,0,17
34,"6,419",8,10,0,0,76
35,"6,420",1,8,0,0,17
36,"6,922",3,7,0,0,46
37,"6,923",3,7,10,0,47
38,"6,988",3,7,10,0,47
39,"7,066",3,7,10,0,47
40,"7,692",3,5,0,0,36
41,"7,693",3,5,8,0,37
42,"8,094",3,8,11,0,51
43,"8,469",3,7,10,0,47
44,"8,547",3,7,10,0,47
45,"8,622",3,7,10,0,47
46,"8,891",5,10,0,0,67
47,"9,186",3,5,0,0,36
48,"9,544",3,5,0,0,36
49,"9,545",3,5,8,11,39
50,"9,902",7,10,0,0,74
51,"9,903",3,7,10,0,47
52,"9,971",3,7,10,0,47
53,"10,051",3,7,10,0,47
54,"10,248",3,7,0,0,46
55,"10,373",1,4,8,0,9
56,"10,547",1,11,0,0,21
57,"10,668",4,10,0,0,61
58,"10,849",1,3,7,10,3
59,"11,329",3,10,0,0,53
60,"11,412",1,3,10,0,4
61,"11,677",1,3,7,10,3
62,"11,852",3,8,0,0,49
63,"12,005",2,4,8,0,24
64,"12,072",2,4,8,0,24
65,"12,151",2,4,11,0,26
66,"12,348",2,11,0,0,33
67,"12,510",3,7,0,0,46
68,"12,511",7,10,0,0,74
69,"13,242",3,5,0,0,36
70,"13,243",3,8,11,0,51
71,"13,315",3,8,0,0,49
72,"13,316",3,11,0,0,54
73,"13,382",3,8,11,0,51
74,"13,986",3,8,0,0,49
75,"13,987",3,11,0,0,54
76,"14,351",3,8,11,0,51
77,"14,727",3,8,11,0,51
78,"14,792",3,8,0,0,49
79,"14,793",3,11,0,0,54
80,"14,870",3,8,11,0,51
81,"15,389",3,8,0,0,49
82,"15,390",3,11,0,0,54
83,"15,747",3,8,11,0,51
84,"16,124",3,8,11,0,51
85,"16,191",3,8,11,0,51
86,"16,266",3,8,0,0,49
87,"16,267",3,11,0,0,54
88,"16,771",3,8,11,0,51
89,"16,848",3,8,11,0,51
90,"16,933",3,8,11,0,51
91,"17,461",3,11,0,0,54
92,"17,462",3,11,0,0,54
93,"17,542",3,11,0,0,54
94,"17,543",3,11,0,0,54
95,"17,615",3,11,0,0,54
96,"17,616",3,11,0,0,54
97,"18,122",7,11,0,0,75
98,"18,124",4,11,0,0,62
99,"18,206",7,11,0,0,75
100,"18,207",4,7,0,0,56
101,"18,208",4,11,0,0,62
102,"18,278",4,11,0,0,62
103,"18,795",3,7,10,0,47
104,"18,866",3,7,0,0,46
105,"18,867",3,7,10,0,47
106,"18,942",3,10,0,0,53
